Index,Traffic_Received,Traffic_Predicted
0,7,7
1,9,5
2,13,6
3,12,9
4,7,9
5,5,6
6,8,6
7,12,9
8,13,11
9,10,11
10,6,10
11,5,8
12,7,7
13,11,9
14,7,10
15,4,7
16,6,6
17,12,8
18,13,10
19,11,10
20,9,10
21,9,9
22,8,10
23,9,9
24,5,9
25,5,6
26,8,7
27,12,9
28,6,11
29,7,7
30,5,8
31,8,6
32,7,8
33,4,7
34,6,5
35,11,7
36,6,10
37,1,6
38,6,3
39,11,7
40,11,9
41,7,9
42,4,6
43,4,5
44,10,4
45,11,8
46,8,8
47,4,7
