Index,Traffic_Received,Traffic_Predicted_Context_Aware,Traffic_Predicted_Context_Free
0,7,17,4
1,14,16,9
2,6,14,8
3,9,10,6
4,15,10,11
5,12,12,14
6,9,12,10
7,7,11,12
8,10,9,11
9,13,9,11
10,5,11,13
11,8,8,7
12,14,8,11
13,11,10,14
14,11,11,12
15,11,11,13
16,10,11,10
17,8,10,13
18,7,9,8
19,12,8,10
20,8,11,13
21,7,9,9
22,9,7,10
23,7,8,10
24,6,8,7
25,12,7,9
26,5,10,11
27,1,7,6
28,9,6,3
29,14,7,8
30,8,10,11
31,4,9,7
32,10,6,7
33,11,10,11
34,7,10,12
