Index,Traffic_Received,Traffic_Predicted_Context_Aware,Traffic_Predicted_Context_Free
0,14,20,7
1,14,15,9
2,6,9,8
3,11,5,6
4,13,12,13
5,12,10,13
6,6,13,12
7,9,6,10
8,13,10,12
9,6,12,14
10,7,7,7
11,11,10,10
12,14,13,13
13,11,10,13
14,11,10,12
15,11,12,11
16,7,8,12
17,8,9,8
18,11,7,11
19,8,11,12
20,8,8,8
21,8,8,11
22,9,11,9
23,6,10,10
24,11,6,7
25,9,8,10
26,1,10,8
27,9,7,3
28,13,7,9
29,9,7,11
30,4,9,9
31,10,5,7
32,11,12,11
33,7,9,10
34,8,6,7
35,8,6,10
36,13,6,8
37,7,9,13
38,12,7,6
39,12,14,12
40,6,10,12
41,8,6,7
42,11,7,10
43,10,8,10
44,10,8,10
45,11,13,10
46,8,9,12
47,6,9,11
48,9,6,8
49,13,8,9
50,9,11,13
51,8,14,10
52,10,7,9
53,6,8,12
54,5,5,8
55,5,7,9
56,14,7,6
57,5,10,11
58,10,7,5
59,9,8,10
60,6,8,7
61,6,6,7
62,7,8,7
63,8,7,7
64,6,8,9
65,13,7,8
66,9,13,11
67,13,9,8
68,10,9,12
69,10,6,9
70,6,6,11
71,6,10,9
72,10,7,10
73,5,9,10
74,6,7,7
75,10,9,8
76,14,7,10
77,11,15,12
78,9,9,11
79,4,8,9
80,2,7,7
81,6,5,5
82,9,6,8
83,11,8,10
84,8,8,8
85,5,8,10
86,6,6,5
87,11,6,8
88,2,9,9
89,8,5,4
90,4,7,8
91,6,5,6
92,14,5,7
93,12,9,10
94,12,9,12
95,7,11,10
96,9,8,10
97,6,8,9
98,6,8,7
99,12,9,8
100,12,13,11
101,2,12,13
102,10,4,6
103,8,6,10
104,9,7,7
105,13,8,10
106,12,11,10
107,4,11,14
108,8,6,6
109,10,7,10
110,9,6,8
111,13,10,10
112,5,10,12
113,6,7,7
